Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:38,0.003s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:38,0.003s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:38,0.003s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:38,0.002s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:38,0.002s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,22-05-2025 23:01:38,22-05-2025 23:01:39,0.487s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,22-05-2025 23:01:39,22-05-2025 23:01:41,2.295s,PASSED
switch (program),Chrome 136.0.7103.114,,,22-05-2025 23:01:41,22-05-2025 23:01:41,0.286s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,22-05-2025 23:01:41,22-05-2025 23:01:42,0.566s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,22-05-2025 23:01:42,22-05-2025 23:01:43,0.740s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:01:43,22-05-2025 23:01:43,0.587s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/GoToHomepage""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:01:43,22-05-2025 23:01:44,0.459s,PASSED
"click(findTestObject(""AppointmentPage/GoToHomepage""))",Chrome 136.0.7103.114,,,22-05-2025 23:01:44,22-05-2025 23:01:45,0.708s,PASSED
"verifyElementPresent(findTestObject(""LoginPage/MakeAppointment""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:01:45,22-05-2025 23:01:45,0.470s,PASSED
takeScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:01:45,22-05-2025 23:01:46,1.109s,PASSED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_05,Chrome 136.0.7103.114,,,22-05-2025 23:01:46,22-05-2025 23:02:06,20.062s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,22-05-2025 23:01:46,22-05-2025 23:01:58,12.286s,PASSED
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:58,0.003s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:58,0.003s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:58,0.003s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:58,0.003s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:58,0.003s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,22-05-2025 23:01:58,22-05-2025 23:01:59,0.486s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,22-05-2025 23:01:59,22-05-2025 23:02:01,2.298s,PASSED
switch (program),Chrome 136.0.7103.114,,,22-05-2025 23:02:01,22-05-2025 23:02:02,0.287s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,22-05-2025 23:02:02,22-05-2025 23:02:02,0.565s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,22-05-2025 23:02:02,22-05-2025 23:02:03,0.739s,PASSED
delay(2),Chrome 136.0.7103.114,,,22-05-2025 23:02:03,22-05-2025 23:02:05,2.007s,PASSED
refresh(),Chrome 136.0.7103.114,,,22-05-2025 23:02:05,22-05-2025 23:02:05,0.423s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:02:05,22-05-2025 23:02:06,0.431s,PASSED
takeScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:02:06,22-05-2025 23:02:06,0.480s,PASSED
