Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"validationMessage = executeJavaScript(""return arguments[0].validationMessage;"", Arrays.asList(findWebElement(dateField)))",Chrome 136.0.7103.114,,,23-05-2025 01:01:51,23-05-2025 01:02:19,27.377s,FAILED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_01,Chrome 136.0.7103.114,,,23-05-2025 01:02:19,23-05-2025 01:02:35,15.830s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,23-05-2025 01:02:19,23-05-2025 01:02:32,13.097s,PASSED
"click(findTestObject(""LoginPage/MakeAppointment""))",Chrome 136.0.7103.114,,,23-05-2025 01:02:32,23-05-2025 01:02:32,0.294s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,23-05-2025 01:02:32,23-05-2025 01:02:35,2.389s,PASSED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_02,Chrome 136.0.7103.114,,,23-05-2025 01:02:35,23-05-2025 01:02:54,19.492s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,23-05-2025 01:02:35,23-05-2025 01:02:46,11.659s,PASSED
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:46,0.004s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:46,0.004s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:46,0.005s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:46,0.006s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:46,0.005s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,23-05-2025 01:02:46,23-05-2025 01:02:47,0.500s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,23-05-2025 01:02:47,23-05-2025 01:02:49,2.295s,PASSED
switch (program),Chrome 136.0.7103.114,,,23-05-2025 01:02:49,23-05-2025 01:02:49,0.287s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,23-05-2025 01:02:49,23-05-2025 01:02:50,0.565s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,23-05-2025 01:02:50,23-05-2025 01:02:51,0.736s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,23-05-2025 01:02:51,23-05-2025 01:02:51,0.605s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/GoToHomepage""), 5)",Chrome 136.0.7103.114,,,23-05-2025 01:02:51,23-05-2025 01:02:52,0.520s,PASSED
"click(findTestObject(""AppointmentPage/GoToHomepage""))",Chrome 136.0.7103.114,,,23-05-2025 01:02:52,23-05-2025 01:02:53,0.670s,PASSED
"verifyElementPresent(findTestObject(""LoginPage/MakeAppointment""), 5)",Chrome 136.0.7103.114,,,23-05-2025 01:02:53,23-05-2025 01:02:53,0.441s,PASSED
takeScreenshot(),Chrome 136.0.7103.114,,,23-05-2025 01:02:53,23-05-2025 01:02:54,1.126s,PASSED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_05,Chrome 136.0.7103.114,,,23-05-2025 01:02:54,23-05-2025 01:03:13,19.033s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,23-05-2025 01:02:54,23-05-2025 01:03:05,11.251s,PASSED
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:05,0.004s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:05,0.003s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:05,0.003s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:05,0.003s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:05,0.003s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,23-05-2025 01:03:05,23-05-2025 01:03:06,0.492s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,23-05-2025 01:03:06,23-05-2025 01:03:08,2.298s,PASSED
switch (program),Chrome 136.0.7103.114,,,23-05-2025 01:03:08,23-05-2025 01:03:09,0.279s,PASSED
"setText(findTestObject(""AppointmentPage/CalendarInput""), visitDate)",Chrome 136.0.7103.114,,,23-05-2025 01:03:09,23-05-2025 01:03:09,0.563s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,23-05-2025 01:03:09,23-05-2025 01:03:10,0.731s,PASSED
delay(2),Chrome 136.0.7103.114,,,23-05-2025 01:03:10,23-05-2025 01:03:12,2.005s,PASSED
refresh(),Chrome 136.0.7103.114,,,23-05-2025 01:03:12,23-05-2025 01:03:12,0.425s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,23-05-2025 01:03:12,23-05-2025 01:03:13,0.430s,PASSED
takeScreenshot(),Chrome 136.0.7103.114,,,23-05-2025 01:03:13,23-05-2025 01:03:13,0.486s,PASSED
